actual_price,predicted_price,error
365000.0,373437.138,-8437.137999999977
865000.0,790203.652,74796.348
1038000.0,1027454.09,10545.910000000033
1129575.0,1121212.71,8362.290000000037
711000.0,704374.67,6625.329999999958
211000.0,249628.284,-38628.284000000014
790000.0,811045.51,-21045.51000000001
680000.0,616420.574,63579.42599999998
384500.0,396950.224,-12450.223999999987
605000.0,522557.834,82442.16600000003
638000.0,675996.079,-37996.07900000003
385000.0,408817.302,-23817.302000000025
175000.0,242814.408,-67814.408
365000.0,324106.8,40893.20000000001
160000.0,302635.968,-142635.968
1070000.0,1104960.676,-34960.67599999998
800000.0,765469.301,34530.69900000002
795127.0,958645.13,-163518.13
355000.0,377693.03,-22693.030000000028
474000.0,445067.088,28932.91200000001
485000.0,438963.57,46036.42999999999
930000.0,875032.7,54967.30000000005
920000.0,709203.934,210796.066
560000.0,644653.808,-84653.80799999996
654000.0,533059.208,120940.79200000002
549000.0,522505.252,26494.74800000002
290000.0,257661.794,32338.206000000006
275000.0,215437.274,59562.725999999995
329990.0,318924.45,11065.549999999988
750000.0,549808.85,200191.15000000002
425000.0,314497.33,110502.66999999998
515000.0,469713.96,45286.03999999998
605000.0,547566.984,57433.015999999945
250000.0,245351.784,4648.215999999986
330000.0,495693.94,-165693.94
984000.0,959389.094,24610.90599999996
827500.0,833724.878,-6224.878000000026
485000.0,414946.986,70053.01400000002
306000.0,386638.454,-80638.45400000003
1129575.0,1106932.15,22642.850000000093
514000.0,505431.278,8568.722000000009
282613.0,255971.43,26641.570000000007
309000.0,322074.836,-13074.83600000001
400000.0,397372.198,2627.802000000025
310000.0,310852.466,-852.4660000000149
253200.0,247697.882,5502.117999999988
334009.0,447289.58,-113280.58000000002
500000.0,447590.74,52409.26000000001
441500.0,413689.7,27810.29999999999
685000.0,762712.196,-77712.196
327000.0,461934.26,-134934.26
450000.0,522488.372,-72488.37199999997
356000.0,485468.874,-129468.87400000001
525000.0,477380.548,47619.45199999999
675000.0,517290.546,157709.45400000003
875000.0,1060764.698,-185764.6980000001
345000.0,372631.77,-27631.77000000002
695000.0,703417.504,-8417.503999999957
350000.0,477857.746,-127857.74599999998
695000.0,690068.016,4931.984000000055
400000.0,459531.336,-59531.33600000001
330000.0,317088.884,12911.11599999998
265000.0,220673.624,44326.37599999999
630000.0,577432.26,52567.73999999999
312000.0,439855.84,-127855.84000000003
156000.0,170441.484,-14441.483999999997
300000.0,340936.152,-40936.152
1129575.0,776147.126,353427.87399999995
465000.0,576531.802,-111531.80200000003
923990.0,933061.5,-9071.5
320000.0,331862.674,-11862.673999999999
375000.0,373976.958,1023.0420000000158
985000.0,814593.502,170406.49800000002
850000.0,964606.15,-114606.15000000002
474900.0,524827.6,-49927.59999999998
997000.0,935686.35,61313.65000000002
1129575.0,1129410.85,164.14999999990687
209900.0,206492.4,3407.600000000006
602000.0,563509.468,38490.53200000001
1129575.0,1048819.6,80755.3999999999
856000.0,750794.959,105205.04099999997
392000.0,443349.584,-51349.58399999997
500000.0,695306.768,-195306.76800000004
230000.0,240648.656,-10648.655999999988
1129575.0,951332.08,178242.92000000004
560000.0,507004.992,52995.00799999997
355000.0,429425.508,-74425.50799999997
785000.0,720382.876,64617.12399999995
447500.0,404474.576,43025.424
540000.0,460922.336,79077.66399999999
252000.0,241884.47,10115.529999999999
455000.0,419481.918,35518.081999999995
619850.0,633508.352,-13658.351999999955
1129575.0,1025048.646,104526.35400000005
495000.0,568728.912,-73728.91200000001
540000.0,511084.82,28915.179999999993
286651.0,265239.572,21411.428000000014
261000.0,257907.3,3092.7000000000116
830000.0,758975.686,71024.31400000001
